DEBUG firesimulator.FireSimulatorWrapper : Starting Connection from firesimulator.FireSimulatorWrapper. Registry: Kernel local registry
DEBUG firesimulator.FireSimulatorWrapper : Instantiating random number generator: org.uncommons.maths.random.MersenneTwisterRNG
DEBUG firesimulator.FireSimulatorWrapper : Using seed 8754487
INFO firesimulator.FireSimulatorWrapper : firesimulator.FireSimulatorWrapper@142b0bb1 connected
DEBUG firesimulator.FireSimulatorWrapper : Re-indexing world model
DEBUG firesimulator.FireSimulatorWrapper : Finished re-index. Took 79ms
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.store
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.virtual
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.host
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.port
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.setup
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.csetup
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.ray_rate' to '0.0025'
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.help
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.cell_size' to '5000'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.max_ray_distance' to '200000'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.energy_loss' to '0.86'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.air_to_air_flow' to '1.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.air_to_building_flow' to '0.0015'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.air_cell_heat_capacity' to '0.004'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.wooden_capacity' to '1.1'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.wooden_energy' to '2400.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.wooden_ignition' to '47.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.wooden_burning' to '800.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.wooden_speed' to '0.05'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.steel_capacity' to '1.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.steel_energy' to '800.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.steel_ignition' to '47.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.steel_burning' to '850.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.steel_speed' to '0.05'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.concrete_capacity' to '1.5'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.concrete_energy' to '350.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.concrete_ignition' to '47.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.concrete_burning' to '800.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.concrete_speed' to '0.05'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.max_extinguish_power_sum' to '3000'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.water_refill_rate' to '2500'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.water_hydrant_refill_rate' to '400'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.water_capacity' to '15000'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.water_thermal_capacity' to '20'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.water_distance' to '50000'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.radiation_coefficient' to '0.011'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.wind_speed' to '0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.wind_direction' to '100.0'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.wind_random' to '1'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.randomseed' to '23'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'random.seed' to '8754487'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.refuge_inflammable' to 'false'
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.fire_station_inflammable
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.police_office_inflammable
DEBUG firesimulator.FireSimulatorWrapper : Ignoring property resq-fire.ambulance_center_inflammable
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.gamma' to '0.2'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.rays.dir' to 'rays'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.burn-rate-average' to '0.15'
DEBUG firesimulator.FireSimulatorWrapper : Setting 'resq-fire.burn-rate-variance' to '0.02'
INFO firesimulator.world.World : World initialising
DEBUG firesimulator.world.Building : Initialised building 18435: ground area = 23.0, floors = 1, volume = 69.0, initial fuel = 165600.0, energy capacity = 75.9
DEBUG firesimulator.world.Building : Initialised building 32773: ground area = 79.0, floors = 1, volume = 237.0, initial fuel = 568800.0, energy capacity = 260.7
DEBUG firesimulator.world.Building : Initialised building 29703: ground area = 20.0, floors = 1, volume = 60.0, initial fuel = 144000.0, energy capacity = 66.0
DEBUG firesimulator.world.Building : Initialised building 24585: ground area = 32.0, floors = 1, volume = 96.0, initial fuel = 230400.0, energy capacity = 105.600006
DEBUG firesimulator.world.Building : Initialised building 26633: ground area = 33.0, floors = 1, volume = 99.0, initial fuel = 237600.0, energy capacity = 108.9
DEBUG firesimulator.world.Building : Initialised building 27657: ground area = 89.0, floors = 1, volume = 267.0, initial fuel = 640800.0, energy capacity = 293.7
DEBUG firesimulator.world.Building : Initialised building 10251: ground area = 102.0, floors = 1, volume = 306.0, initial fuel = 734400.0, energy capacity = 336.6
DEBUG firesimulator.world.Building : Initialised building 11275: ground area = 73.0, floors = 1, volume = 219.0, initial fuel = 525600.0, energy capacity = 240.90001
DEBUG firesimulator.world.Building : Initialised building 14351: ground area = 80.0, floors = 1, volume = 240.0, initial fuel = 576000.0, energy capacity = 264.0
DEBUG firesimulator.world.Building : Initialised building 15376: ground area = 36.0, floors = 1, volume = 108.0, initial fuel = 259200.0, energy capacity = 118.8
DEBUG firesimulator.world.Building : Initialised building 21524: ground area = 53.0, floors = 1, volume = 159.0, initial fuel = 381600.0, energy capacity = 174.90001
DEBUG firesimulator.world.Building : Initialised building 23572: ground area = 146.0, floors = 1, volume = 438.0, initial fuel = 1051200.0, energy capacity = 481.80002
DEBUG firesimulator.world.Building : Initialised building 13333: ground area = 75.0, floors = 1, volume = 225.0, initial fuel = 540000.0, energy capacity = 247.5
DEBUG firesimulator.world.Building : Initialised building 16410: ground area = 52.0, floors = 1, volume = 156.0, initial fuel = 374400.0, energy capacity = 171.6
DEBUG firesimulator.world.Building : Initialised building 26650: ground area = 58.0, floors = 1, volume = 174.0, initial fuel = 417600.0, energy capacity = 191.40001
DEBUG firesimulator.world.Building : Initialised building 28699: ground area = 30.0, floors = 1, volume = 90.0, initial fuel = 216000.0, energy capacity = 99.0
DEBUG firesimulator.world.Building : Initialised building 20509: ground area = 87.0, floors = 1, volume = 261.0, initial fuel = 626400.0, energy capacity = 287.1
DEBUG firesimulator.world.Building : Initialised building 18463: ground area = 51.0, floors = 1, volume = 153.0, initial fuel = 367200.0, energy capacity = 168.3
DEBUG firesimulator.world.Building : Initialised building 22559: ground area = 84.0, floors = 1, volume = 252.0, initial fuel = 604800.0, energy capacity = 277.2
DEBUG firesimulator.world.Building : Initialised building 25632: ground area = 25.0, floors = 1, volume = 75.0, initial fuel = 180000.0, energy capacity = 82.5
DEBUG firesimulator.world.Building : Initialised building 33825: ground area = 28.0, floors = 1, volume = 84.0, initial fuel = 201600.0, energy capacity = 92.4
DEBUG firesimulator.world.Building : Initialised building 29730: ground area = 49.0, floors = 1, volume = 147.0, initial fuel = 352800.0, energy capacity = 161.7
DEBUG firesimulator.world.Building : Initialised building 19490: ground area = 1070.0, floors = 1, volume = 3210.0, initial fuel = 7704000.0, energy capacity = 3531.0
DEBUG firesimulator.world.Building : Initialised building 32803: ground area = 56.0, floors = 1, volume = 168.0, initial fuel = 403200.0, energy capacity = 184.8
DEBUG firesimulator.world.Building : Initialised building 24612: ground area = 47.0, floors = 1, volume = 141.0, initial fuel = 338400.0, energy capacity = 155.1
DEBUG firesimulator.world.Building : Initialised building 32804: ground area = 41.0, floors = 1, volume = 123.0, initial fuel = 295200.0, energy capacity = 135.3
DEBUG firesimulator.world.Building : Initialised building 27684: ground area = 50.0, floors = 1, volume = 150.0, initial fuel = 360000.0, energy capacity = 165.0
DEBUG firesimulator.world.Building : Initialised building 10278: ground area = 42.0, floors = 1, volume = 126.0, initial fuel = 302400.0, energy capacity = 138.6
DEBUG firesimulator.world.Building : Initialised building 11302: ground area = 271.0, floors = 1, volume = 813.0, initial fuel = 1951200.0, energy capacity = 894.30005
DEBUG firesimulator.world.Building : Initialised building 17447: ground area = 114.0, floors = 1, volume = 342.0, initial fuel = 820800.0, energy capacity = 376.2
DEBUG firesimulator.world.Building : Initialised building 14378: ground area = 78.0, floors = 1, volume = 234.0, initial fuel = 561600.0, energy capacity = 257.4
DEBUG firesimulator.world.Building : Initialised building 15408: ground area = 88.0, floors = 1, volume = 264.0, initial fuel = 633600.0, energy capacity = 290.4
DEBUG firesimulator.world.Building : Initialised building 25649: ground area = 35.0, floors = 1, volume = 105.0, initial fuel = 252000.0, energy capacity = 115.5
DEBUG firesimulator.world.Building : Initialised building 16437: ground area = 73.0, floors = 1, volume = 219.0, initial fuel = 525600.0, energy capacity = 240.90001
DEBUG firesimulator.world.Building : Initialised building 26677: ground area = 165.0, floors = 1, volume = 495.0, initial fuel = 1188000.0, energy capacity = 544.5
DEBUG firesimulator.world.Building : Initialised building 28727: ground area = 87.0, floors = 1, volume = 261.0, initial fuel = 626400.0, energy capacity = 287.1
DEBUG firesimulator.world.Building : Initialised building 33848: ground area = 74.0, floors = 1, volume = 222.0, initial fuel = 532800.0, energy capacity = 244.20001
